Table Name,ID,dates,details,scores,reviews,Blood and lymphatic system disorders,Cardiac disorders,Congenital familial and genetic disorders,Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,Injury poisoning and procedural complications,Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,Neoplasms benign malignant and unspecified (incl cysts and polyps),Nervous system disorders,Pregnancy puerperium and perinatal conditions,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,Respiratory thoracic and mediastinal disorders,Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders,Product issues,Positive effects,Correct review ,Incorrect review ,Incompatibility
Разметка_Biotin,1,6/9/2023,Ma |  Age: 25-34 |   On supplement for 1 to 6 months |,"Condition: Other , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have a bad hair lose, i really concern to lose all my hair. I will use biotin 5 ml injection + bepanox 500 injection in a week. Each pack has 6 vials. repeat treatment for 3 months. Most of comments announced injection is more effective. I know it’s painful and annoying , two injections each week for 3 months but i hope get the result.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Разметка_Biotin,2,5/31/2023,Annie |  Age: 35-44 |   On supplement for 6 months to less than 1 year |,"Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Biotin has been a game-changer for my hair. After trying various brands of biotin, I have found that Nutra Harmony Biotin delivers the best results. It has transformed my hair, making it thicker, fuller, and stronger, while reducing breakage. Not only has it accelerated hair growth, but it has also improved the strength of my nails and revitalized my skin. If you're over 35 and seeking effective hair support, I highly recommend Biotin. Remember to consult a healthcare professional before startin,g any new supplement!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Разметка_Biotin,3,5/26/2023,Jack9 |  Age: 25-34 |   On supplement for 1 to 6 months |,"Condition: Other , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Not bad but could be better,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Разметка_Biotin,4,5/15/2023,Age: 35-44 |   On supplement for 1 to 6 months |,"Condition: Other , Overall rating 2.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","For more than a month, I took Nature Made® Hair, Skin, and Nails 2,500 mcg gummies. With my eczema and dermatitis, I believed it would be beneficial. Then one day I had a daylong feeling of having a heart attack! Lots of heart palpitations and nervousness/anxiety. Before this, I recently experienced indigestion and back pain, and I've noticed that it's been getting tougher for me to swallow lately, as if something is sort of choking me. I was experiencing headaches and an itchy scalp. Symptoms h,ave improved since I stopped taking biotin. I feel better and none of these adverse effects are present. I'm puzzled as to why there aren't more popular online articles listing more adverse effects in regard to biotin. I had to look a little harder for other individuals who had the same problems I had while using biotin. Prior to consuming biotin, especially in greater doses, do your homework and consider your options.",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Разметка_Biotin,5,4/13/2023,amar4007 |,"Condition: Brittle nails , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",This is a test review post done by Amar 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Разметка_Biotin,6,4/11/2023,amar3007 |,"Condition: Biotin deficiency , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",This is a test review post done by Amar 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Разметка_Biotin,7,11/24/2022,Sumi |  Age: 35-44 |   On supplement for 1 to 6 months |,"Condition: Other , Overall rating 2.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Taking biotin 5000mcg from October first week almost it is two months now. Not noticed any change.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Разметка_Biotin,8,11/2/2022,Mimi |  Age: 55-64 |   On supplement for 1 to 6 months |,"Condition: Biotin deficiency , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","My hairline started to recede, had bald patches and my hair volume had decreased enormously. Probably due to menopause. I've been taking Biotin (5000mcg p/d) for 5 months now and the results are remarkable. First noticed fuller eye lashes and longer nails and now my hair volume seems to be  back to normal and the bald patches have become smaller. It's a pity that I can't upload before- & after photo's. No side effects up until now, hopefully none will come. Very happy; it's done wonders for my c,onfidence.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Разметка_Biotin,9,10/20/2022,Momtodem |  Age: 55-64 |   On supplement for less than 1 month |,"Condition: Brittle nails , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","My nails grew in noticeably thicker and stronger very soon after beginning to take 5,000 mcg chewable biotin per day. I have taken skin/hair/nail vitamins in the past with the same effect but decided to try biotin alone since it was much cheaper.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Разметка_Biotin,10,8/7/2022,Age: 55-64 |   On supplement for 6 months to less than 1 year |,"Condition: Other , Overall rating 3.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have been using these tablets for six months, due to thinning hair caused by the dreaded menopause.

Like another customer stated, my eyelashes are a lot longer and  eyebrows are growing, but nothing yet on my head, no new growth, zilch.  I get it cut every 4/5 weeks as it’s less noticeable with shorter layers, and even my usual hairdresser said there is No new growth.

I will give it another six months,,and if no new growth then I will stop taking it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Разметка_Biotin,11,7/31/2022,Rhonda |  Age: 65-74 |   On supplement for less than 1 month |,"Condition: Other , Overall rating 1.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I took biotin for 1 week.  I started having muscle and bone pain in my hips, legs and back.  I developed diarrhea.  I immediately stopped taking it.
It made me feel very ill.",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Разметка_Biotin,12,7/8/2022,atypicaloutlier |  Age: 35-44 |,"Condition: Biotin deficiency , Overall rating 2.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I didn’t really need supplemental biotin, but I took it anyway, just because my mom takes it. I took 5,000 mcg once daily for about 7 to 10 days, and I started noticing strange effects, i.e., skin rash, amphetamine-like energy/talkativeness, reduced back pain, decreased need for opioids, and profound insomnia. It’s somewhat of a mixed bag, but beware that biotin supplements can do bizarre and awful things.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
Разметка_Biotin,13,6/8/2022,Age: 19-24 |   On supplement for 1 to less than 2 years |,"Condition: Brittle nails , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I used to have very thin nails that bent when i pressed against them. They would break and rip and shed off in layers. i would say biotin has helped in the last couple years. my nails are now hard and they grow a lot longer than they used to.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Разметка_Biotin,14,5/13/2022,Amelia |  Age: 19-24 |   On supplement for 1 to 6 months |,"Condition: Biotin deficiency , Overall rating 2.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Never worked for me, I do wonder if they actually work for anyone?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
